non_toxicity_cats,family,scientific_name,non_toxicity,non_toxicity_dogs,toxicity_horses,toxicity_cats,clinical_signs,additional_common_names,toxic_principles,non_toxicity_horses,url,name,image_url,toxicity,toxicity_dogs
TRUE, Compositae, Calendula officinalis," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE, ," Marigold, Mary Bud, Gold Bloom, Pot Marigold, Garden Marigold", Non-toxic,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/holligold,Holligold,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
FALSE, Aquifoliaceae, Ilex opaca,null,FALSE,TRUE,TRUE," Vomiting, diarrhea and depression. Leaves and berries are low toxicity."," English Holly, European Holly, Oregon Holly, Inkberry, Winterberry, American Holly", saponins,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/holly,Holly,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/holly-r.jpg?itok=JGyblujw," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
TRUE, Polypodaceae, Cyrtomium falcatum," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE, , Fishtail Fern, Non-toxic,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/holly-fern,Holly Fern,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
TRUE, Malvaceae, Althea rosea," Non-Toxic to Dogs, Non-Toxic to Cats, Non-Toxic to Horses",TRUE,FALSE,FALSE, , , Non-toxic,TRUE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/hollyhock,Hollyhock,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
TRUE, Fabaceae, Gleditsia triacanthos," Non-Toxic to Dogs, Non-Toxic to Cats, Non-Toxic to Horses",TRUE,FALSE,FALSE, , , Non-toxic,TRUE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/honey-locust,Honey Locust,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
TRUE, Asclepiadaceae, Hoya carnosa," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE, , Wax Plant, Non-toxic,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/honey-plant,Honey Plant,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
TRUE, Cucurbitaceae, Cucumis melo," Non-Toxic to Dogs, Non-Toxic to Cats, Non-Toxic to Horses",TRUE,FALSE,FALSE, , Casaba Melon, Non-toxic,TRUE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/honeydew-melon,Honeydew Melon,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
TRUE, Onagraceae, Fuchsia triphylla," Non-Toxic to Dogs, Non-Toxic to Cats, Non-Toxic to Horses",TRUE,FALSE,FALSE, , , Non-toxic,TRUE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/honeysuckle-fuchsia,Honeysuckle Fuchsia,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
TRUE, Amaryllidaceae, Dichelostemma pulchellum," Non-Toxic to Dogs, Non-Toxic to Cats, Non-Toxic to Horses",TRUE,FALSE,FALSE, ," Wild Hyacinth, Blue-Dicks", Non-toxic,TRUE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/hookera-pulchella,Hookera pulchella,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
FALSE, Cannabidaceae, Humulus lupulus,null,FALSE,FALSE,FALSE," Dogs: panting, high body temperature, seizures, death.",null, Unknown,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/hops,Hops,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/hops-1-r.jpg?itok=-M3zM6Qh, Toxic to Dogs,TRUE
FALSE, Hippocastanaceae, Aesculus glabra,null,FALSE,TRUE,TRUE," Severe vomiting and diarrhea, depression or excitement, dilated pupils, coma, convulsions, wobbly", Buckeye," Aesculin (a glycosidic saponin), other saponins",FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/horse-chestnut,Horse Chestnut,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/buckeye-r.jpg?itok=EHSxckSy," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
FALSE, Araceae, Philodendron bipennifolium, ,FALSE,FALSE,TRUE," Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing."," Fiddle-Leaf, Cordatum, Heartleaf Philodendron, Panda Plant, Split Leaf Philodendron, Fruit Salad Plant, Red Emerald, Red Princess, Saddle Leaf", Insoluble calcium oxalates,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/horsehead-philodendron,Horsehead Philodendron,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE," Toxic to Dogs, Toxic to Cats",TRUE
FALSE, Asteraceae, Erigeron speciosus,null,FALSE,TRUE,TRUE," Mild vomiting, diarrhea."," Showy Daisy, Fleabane, Seaside Daisy", Unknown,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/horseweed,Horseweed,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/seaside-daisy-r.jpg?itok=QIlgwI1g," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
FALSE, Hydrangeaceae, Hydrangea arborescens,null,FALSE,TRUE,TRUE," Vomiting, depression, diarrhea. Cyanide intoxication is rare - usually produces more of a gastrointestinal disturbance."," Hydrangea, Hills of Snow, Seven Bark", Cyanogenic glycoside,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/hortensia,Hortensia,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/hydrangea-r.jpg?itok=iSR7Hdce," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
FALSE, Liliaceae, Hosta plataginea,null,FALSE,TRUE,TRUE," Vomiting, diarrhea, depression."," Plantain Lily, Funkia", Saponins,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/hosta,Hosta,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/hosta-r.jpg?itok=os1EJg58," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
FALSE, Boraginaceae, Cynoglossum amabile,null,FALSE,TRUE,FALSE," The plant is not very palatable, but will be eaten by animals with no other forage; poisonings typically occur from ingestion of green plant material or material in hay. The toxic components can cause liver failure, referred to as ""walking disease"" or ""sleepy staggers"". Signs include weight loss, weakness, sleepiness, yawning, incoordination, yellowish discoloration to mucous membranes (icterus), neurologic problems secondary to liver failure (aimless walking, chewing motions, head pressing). Animals may appear to be normal at first, then become suddenly affected; the syndrome progresses rapidly over a few days to a week.",null, Pyrrolizidine alkaloids,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/hounds-tongue,Hound's Tongue,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/hounds-tongue-r.jpg?itok=W9fjvAEh, Toxic to Horses,FALSE
FALSE, Auraucariaceae, Araucaria heterophylla,null,FALSE,FALSE,TRUE," Vomiting, depression"," Australian Pine, Norfolk Pine, Norfolk Island Pine", Unknown,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/house-pine,House Pine,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/australian-pine-r.jpg?itok=xSD4jAE8," Toxic to Dogs, Toxic to Cats",TRUE
TRUE, Cucurbitaceae, Cucurbita maxima var. hubbard," Non-Toxic to Dogs, Non-Toxic to Cats, Non-Toxic to Horses",TRUE,FALSE,FALSE,null,null, Non-toxic,TRUE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/hubbard-squash,Hubbard Squash,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/hubbard-squash-r.jpg?itok=7w-51Ewe,null,FALSE
FALSE, Araceae, Monstera deliciosa,null,FALSE,FALSE,TRUE," Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing."," Cutleaf Philodendron, Swiss Cheese Plant, Ceriman, Mexican Breadfruit", Insoluble calcium oxalates,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/hurricane-plant,Hurricane Plant,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/cutleaf-philodendron-r.jpg?itok=q0nuAtMl," Toxic to Dogs, Toxic to Cats",TRUE
FALSE, Liliaceae, Hyacinthus orientalis,null,FALSE,TRUE,TRUE," Intense vomiting, diarrhea, occassionally with blood, depression and tremors.",null, Possibly narcissus-like alkaloids,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/hyacinth,Hyacinth,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/hyacinth-r.jpg?itok=6aNLYxym," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
FALSE, Hydrangeaceae, Hydrangea arborescens,null,FALSE,TRUE,TRUE," Vomiting, depression, diarrhea. Cyanide intoxication is rare - usually produces more of a gastrointestinal disturbance."," Hortensia, Hills of Snow, Seven Bark", Cyanogenic glycoside,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/hydrangea,Hydrangea,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/hydrangea-2-r.jpg?itok=8T7hCE1U," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
TRUE, Gesneriaceae, Hypocyrta nummularia," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE,null," Candy Corn Plant, Goldfish Plant",null,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/hypocyrta,Hypocyrta,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/hypocyrta-r.jpg?itok=jj9hvwqT,null,FALSE
TRUE, Aizoaceae, Lampranthus piquet," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE, , , Non-toxic,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/ice-plant,Ice Plant,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
FALSE, Apocynaceae, Adenium obesum, ,FALSE,FALSE,TRUE," Vomiting, diarrhea, anorexia, depression, irregular heart beat, death"," Desert Rose, Mock Azalea, Sabi Star, Desert Azalea, Kudu Lily", Digitalis like glycosides,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/impala-lily,Impala Lily,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE," Toxic to Dogs, Toxic to Cats",TRUE
TRUE, Balsaminaceae, Impatiens spp.," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE, ," Giant Touch-Me-Not, Buzzy Lizzy, Patient Lucy, Patient Plant, Tangerine Impatience", ,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/impatience-plant,Impatience Plant,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
FALSE, Berberidaceae, Podophyllum peltatum,null,FALSE,TRUE,TRUE," Vomiting, diarrhea, lethargy, panting, coma (rare); dermal - redness, skin ulcers."," Mayapple, Indian Apple Root, Umbrella Leaf, Wild Lemon, Hog Apple, Duck's Foot, Raccoonberry, American Mandrake", Podophyllin,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/indian-apple,Indian Apple,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/americanmandrake.jpg?itok=-Bvmbwve," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
FALSE, Labiatae, Coleus ampoinicus,null,FALSE,TRUE,TRUE," Vomiting, diarrhea, depression, anorexia, occasionally bloody diarrhea or vomiting"," Bread and Butter Plant, Spanish Thyme, Coleus, Maratha, Militini, East Indian Thyme", Essential Oils,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/indian-borage,Indian Borage,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/spanish-thyme-r.jpg?itok=SI6vxSb2," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
FALSE, Apocynaceae, Apocynum androsaemifolium,null,FALSE,TRUE,TRUE," Diarrhea (possibly with blood), slow heart rate, weakness"," Dogbane Hemp, Bitter Root", Cardenolides,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/indian-hemp,Indian Hemp,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/bitter-root-r_0.jpg?itok=2wXqmQhF," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
FALSE, Cannabaceae, Cannabis sativa, ,FALSE,TRUE,TRUE," Prolonged depression, vomiting, incoordination, sleepiness or excitation, hypersalivaton, dilated pupils, low blood pressure, low body temperature, seizure, coma, death (rare)"," Marijuana, Hashish", Delta-9-THC (tetrahydrocannabinol),FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/indian-hemp-0,Indian Hemp,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
FALSE, Campanulaceae, Lobelia cardinalis,null,FALSE,TRUE,TRUE," Depression, diarrhea, vomiting, excessive salivation, abdominal pain, heart rhythm disturbances."," Lobelia, Cardinal Flower", Lobeline,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/indian-pink,Indian Pink,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/lobelia-r.jpg?itok=chIrnDSs," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
FALSE, Moraceae, Ficus benjamina,null,FALSE,FALSE,TRUE,null," Fig, Weeping Fig"," Proteolytic enzyme (ficin), psoralen (ficusin)",FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/indian-rubber-plant,Indian Rubber Plant,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/indian-rubber-plant-r.jpg?itok=Y9NgWVOX," Toxic to Dogs, Toxic to Cats",TRUE
FALSE, Aquifoliaceae, Ilex opaca,null,FALSE,TRUE,TRUE," Vomiting, diarrhea and depression. Leaves and berries are low toxicity."," English Holly, European Holly, Oregon Holly, American Holly, Winterberry", saponins,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/inkberry,Inkberry,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/holly-r.jpg?itok=JGyblujw," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
FALSE, Iridaceae, Iris species,null,FALSE,FALSE,TRUE," Salivation, vomiting, drooling,lethargy, diarrhea. Highest concentration in rhizomes."," Flag, Snake Lily, Water Flag"," Pentacylic terpenoids (zeorin, missourin and missouriensin)",FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/iris,Iris,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/iris-1-r.jpg?itok=XSCD5q2T," Toxic to Dogs, Toxic to Cats",TRUE
TRUE, Selaginellaceae, Selaginella kraussiana," Non-Toxic to Dogs, Non-Toxic to Cats, Non-Toxic to Horses",TRUE,FALSE,FALSE,null," Club Moss, Cushion Moss, Krauss' Spikemoss, Spreading Club Moss, Trailing Irish Moss",null,TRUE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/irish-moss,Irish Moss,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/club-moss-r_0.jpg?itok=HaTz5PK4,null,FALSE
TRUE, , Begonia masoniana," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE, , , Non-toxic,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/iron-cross-begonia,Iron Cross Begonia,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
TRUE, Rubiaceae, Ixora coccinea," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE, ," Maui Sunset, Flame of the Woods", Non-toxic,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/iron-tree,Iron Tree,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
FALSE, Araceae, Epipremnum aureum, ,FALSE,FALSE,TRUE," Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing."," Pothos, Golden Pothos, Taro Vine, Devil's Ivy", Insoluble calcium oxalates,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/ivy-arum,Ivy Arum,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE," Toxic to Dogs, Toxic to Cats",TRUE
TRUE, Piperaceae, Peperomia griseoargentea," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE, ," Plantinum Peperomia, Silver leaf Peperomia, Ivy leaf Peperomia", Non-toxic,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/ivy-peperomia,Ivy Peperomia,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
FALSE, Araceae, Arisaema triphyllum,null,FALSE,TRUE,TRUE," Oral irritation, intense burning and irritation of mouth, tongue and lips, excessive drooling, vomiting, difficulty swallowing"," Three-leaved indian turnip, Devil's dear, Wake robin, Starch wort, Wild turnip, Dragon root, Bog onion, Pepper turnip, Brown dragon, Memory root", Insoluble calcium oxalates,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/jack-pulpit,Jack-in-the-pulpit,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/jack-in-the-pulpit-r.jpg?itok=26Yxv_nv," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
TRUE, Liliaceae, Smilax lanceolata," Non-Toxic to Dogs, Non-Toxic to Cats, Non-Toxic to Horses",TRUE,FALSE,FALSE, , , Non-toxic,TRUE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/jackson-brier,Jackson Brier,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
TRUE, Liliaceae, Smilax herbacea," Non-Toxic to Dogs, Non-Toxic to Cats, Non-Toxic to Horses",TRUE,FALSE,FALSE, , Carrion Flower, Non-toxic,TRUE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/jacobs-ladder,Jacob's Ladder,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
FALSE, Crassulaceae, Crassula argentea,null,FALSE,FALSE,TRUE," Vomiting, depression"," Baby Jade, Dwarf rubber plant, Jade tree, Chinese rubber plant, Japanese rubber plant", Unknown,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/jade-plant,Jade Plant,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/jade-r.jpg?itok=y8yj8bI5," Toxic to Dogs, Toxic to Cats",TRUE
TRUE, Araliaceae, Fatsia japonica," Non-Toxic to Dogs, Non-Toxic to Cats, Non-Toxic to Horses",TRUE,FALSE,FALSE,null," Formosa rice tree, Glossy-leaved paper plant, Big-leaf paper plant", Non-toxic,TRUE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/japanese-aralia,Japanese Aralia,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/figleaf-palm-r.jpg?itok=1GtCHZSa,null,FALSE
TRUE, Polypodaceae, Cyrtomium falcatum," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE,null," Fishtail Fern, Holly Fern", Non-toxic,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/japanese-holly-fern,Japanese Holly Fern,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/fish-tail-fern-r.jpg?itok=8-9RC82C,null,FALSE
TRUE, Selaginellaceae, Selaginella kraussiana," Non-Toxic to Dogs, Non-Toxic to Cats, Non-Toxic to Horses",TRUE,FALSE,FALSE,null," Club Moss, Cushion Moss, Krauss' Spikemoss, Spreading Club Moss, Trailing Irish Moss, Irish Moss",null,TRUE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/japanese-moss,Japanese Moss,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/japanese-moss-r.jpg?itok=2rVl_PIC,null,FALSE
TRUE, Pittosporaceae, Pittosporum tobira," Non-Toxic to Dogs, Non-Toxic to Cats, Non-Toxic to Horses",TRUE,FALSE,FALSE,null," Australian laurel, Mock orange", Non-toxic,TRUE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/japanese-pittosporum,Japanese Pittosporum,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/japanese-pittosporum-r.jpg?itok=-7S0Rswl,null,FALSE
FALSE, Liliaceae, Lilium speciosum," Non-Toxic to Dogs, Non-Toxic to Horses",TRUE,FALSE,TRUE," Vomiting, inappetence, lethargy, kidney failure, and death is possible. Cats are only species known to be affected.",null, Unknown,TRUE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/japanese-show-lily,Japanese Show Lily,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/japanese-show-lily-r.jpg?itok=Hj1bDsiD, Toxic to Cats,FALSE
FALSE, Taxaceae, Taxus sp.,null,FALSE,TRUE,TRUE," Tremors, difficulty breathing, vomiting, seizures (dogs), sudden death from acute heart failure. Early signs: muscular tremors, dyspnea, seizures in dogs."," English Yew, Western Yew, Pacific Yew, Anglo-Japanese Yew"," Taxine A and B, Volatile oil",FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/japanese-yew,Japanese Yew,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/japanese-yew-r.jpg?itok=xoes_oCs," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
TRUE, Mimosaceae, Jasminium species," Non-Toxic to Dogs, Non-Toxic to Cats, Non-Toxic to Horses",TRUE,FALSE,FALSE, , , Non-toxic,TRUE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/jasmine,Jasmine,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE, ,FALSE
FALSE, Solanaceae, Solanum pseudocapsicum,null,FALSE,TRUE,TRUE," Gastrointestinal disturbances, possible ulceration of the gastrointestinal system, seizures, depression, respiratory depression, and shock."," Natal cherry, Winter cherry", Solanine,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/jerusalem-cherry,Jerusalem Cherry,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/jerusalem-cherry-r.jpg?itok=7cOyWl8C," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
FALSE, Chenopodiaceae, Ambrosia mexicana,null,FALSE,FALSE,TRUE," Vomiting, anorexia, depression"," Feather Geranium, Ambrosia Mexicana", Sesquiterpene lactones,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/jerusalem-oak,Jerusalem Oak,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/ambrosia-mexicana-r.jpg?itok=Mqy9Lq0f," Toxic to Dogs, Toxic to Cats",TRUE
TRUE, Orchidaceae, Haemaria discolor," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE,null, Golden Lace Orchid, Non-toxic,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/jewel-orchid,Jewel Orchid,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/golden-lace-orchid-r.jpg?itok=qNFGmxYH,null,FALSE
FALSE, Mimosaceae, Haplopappus heterophyllus,null,FALSE,TRUE,FALSE," Plant is toxic year round, although poisonings typically occur in summer and late fall. Horses eating one to ten percent of their body weight in the plant can develop lethal clinical effects. Onset of signs generally occurs after two days to three weeks, and includes incoordination, muscle weakness and tremors, elevated heart rate, cardiac arrhythmias, fluid accumulation and swelling of the nervous system, profuse sweating, inability to swallow.", Burrow Weed, Trematol,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/jimmy-weed,Jimmy Weed,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/jimmy-weed-r.jpg?itok=pXYSUcde, Toxic to Horses,FALSE
FALSE, Amaryllidaceae, Narcissus jonquilla, ,FALSE,TRUE,TRUE," Vomiting, salvation, diarrhea; large ingestions cause convulsions, low blood pressure, tremors and cardiac arrhythmias. Bulbs are the most poisonous part."," Daffodil, Narcissus, Paper White", Lycorine and other alkaloids,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/jonquil,Jonquil,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/default_images/imageunavailable_0.jpg?itok=JCCt_uvE," Toxic to Dogs, Toxic to Cats, Toxic to Horses",TRUE
TRUE, Amaranthaceae, Iresine herbstii," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE,null," Chicken Gizzard, Yellow Bloodleaf, Bloodleaf",null,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/josephs-coat,Joseph's Coat,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/bloodleaf-r.jpg?itok=5_2VA4PH,null,FALSE
TRUE, Rubiaceae, Ixora javanica," Non-Toxic to Dogs, Non-Toxic to Cats",TRUE,FALSE,FALSE,null,null, Non-toxic,FALSE,https://www.aspca.org//pet-care/animal-poison-control/toxic-and-non-toxic-plants/jungle-geranium,Jungle Geranium,https://www.aspca.org/sites/default/files/styles/medium_image_300x200/public/field/image/plants/jungle-geranium-r.jpg?itok=F866C39I,null,FALSE
